Position,ISBN,Title,Contributor,Publisher,Year 
1,9780330520331,The forgotten ,David Baldacci ,Pan Books ,2013
2,9780553825527,A wanted man ,Lee Child ,Bantam ,2013
3,9780141343006,Cabin fever ,Jeff Kinney ,Puffin ,2013
4,9781407120690,The brilliant world of Tom Gates ,Liz Pichon ,Scholastic ,2011
5,9781407134505,Genius ideas (mostly) ,Liz Pichon ,Scholastic ,2012
6,9780330544313,The clippie girls ,Margaret Dickinson ,Pan Books ,2013
7,9780755391097,Daughters of the Mersey ,Anne Baker ,Headline ,2013
8,9780099569428,Nightingale sisters ,Donna Douglas ,Arrow ,2013
9,9780099562580,The best of daughters ,Dilly Court ,Arrow ,2013
10,9781407124414,Everything's amazing (sort of) ,Liz Pichon ,Scholastic ,2012
11,9780141340821,The ugly truth ,Jeff Kinney ,Puffin ,2012
12,9781407124407,Excellent excuses (and other good stuff) ,Liz Pichon ,Scholastic ,2011
13,9780141331973,Dog days ,Jeff Kinney ,Puffin ,2010
14,9780330535212,The women of Lilac Street ,Annie Murray ,Pan Macmillan ,2013
15,9780099520320,The Bat ,Jo Nesbo ; trans from the Norwegian Don Bartlett ,Vintage Books ,2013
16,9780099569350,The Nightingale girls ,Donna Douglas ,Arrow ,2012
17,9781409135470,A night on the Orient Express ,Veronica Henry ,Orion ,2013
18,9780099574651,A forget-me-not summer ,Katie Flynn ,Arrow Books ,2013
19,9780099550181,Guilty wives ,James Patterson and David Ellis ,Arrow Books ,2013
20,9780744531671,Owl babies ,"Martin Waddell, Patrick Benson",Walker ,1992
21,9780751548600,Eloise ,Judy Finnigan ,Sphere ,2013
22,9781849833363,Backlash ,Lynda La Plante ,Simon & Schuster ,2013
23,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
24,9781444729764,The racketeer ,John Grisham ,Hodder & Stoughton ,2013
25,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
26,9780857206503,Cockney orphan ,Carol Rivers ,Simon & Schuster ,2013
27,9781471114618,It's raining men ,Milly Johnson ,Simon & Schuster ,2013
28,9780552168151,The innkeeper's daughter ,Val Wood ,Corgi ,2013
