Position,ISBN ,Title ,Contributor ,Publisher ,Year 
1,9780593072493,Inferno ,by Dan Brown ,Bantam ,2013
2,9780593065747,Never go back ,Lee Child ,Bantam Press ,2013
3,9780593065730,A wanted man ,Lee Child ,Bantam ,2012
4,9780141324906,Diary of a wimpy kid ,by Jeff Kinney ,Puffin ,2008
5,9781846058905,Private down under ,"by James Patterson, Michael White ",Century ,2013
6,9780141324920,The last straw ,by Jeff Kinney ,Puffin ,2009
7,9781409144571,Six years ,Harlan Coben ,Orion ,2013
8,9781780890234,Second honeymoon ,by James Patterson ,Century ,2013
9,9781780890258,Mistress ,James Patterson and David Ellis ,Century ,2013
10,9781847444233,The dying hours ,by Mark Billingham ,Little Brown ,2013
11,9780718158149,"Save with Jamie : shop smart, cook clever, waste less ",Jamie Oliver ,Michael Joseph ,2013
12,9781846059971,Unseen ,by Karin Slaughter ,Century ,2013
13,9781780890296,12th of never ,James Patterson and Maxine Paetro ,Century ,2013
14,9780141331973,Dog days ,by Jeff Kinney ,Puffin ,2010
15,9781447225287,The hit ,David Baldacci ,Macmillan ,2013
16,9781846057830,"Alex Cross, run ",by James Patterson ,Century ,2013
17,9781408704202,The casual vacancy ,JK Rowling ,Little Brown ,2012
18,9780553825527,A wanted man ,Lee Child ,Bantam ,2013
19,9781409134312,The black box ,Michael Connelly ,Orion ,2012
20,9781444729740,The racketeer ,John Grisham ,Hodder & Stoughton ,2012
21,9780333710937,Gruffalo ,Julia Donaldson ; illustrated by Axel Scheffler ,Macmillan Children's ,1999
22,9781409144717,Standing in another man's grave ,Ian Rankin ,Orion ,2012
23,9780141324913,Rodrick rules ,Jeff Kinney ,Puffin ,2008
24,9780230748248,Best kept secret ,Jeffrey Archer ,Macmillan ,2013
25,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
26,9780330520331,The forgotten ,David Baldacci ,Pan Books ,2013
27,9780753827666,Gone girl ,Gillian Flynn ,Phoenix ,2013
28,9780230760547,Dead man's time ,by Peter James ,Macmillan ,2013
29,9781444729764,The racketeer ,John Grisham ,Hodder & Stoughton ,2013
30,9780749958114,Whiskey Beach ,by Nora Roberts ,Piatkus ,2013
31,9781444704914,Children of the revolution ,Peter Robinson ,Hodder & Stoughton ,2013
32,9781780890173,Private Berlin ,James Patterson with Mark T Sullivan ,Century ,2013
33,9780385618670,Life after life ,Kate Atkinson ,Doubleday ,2013
34,9781409117223,Stay close ,Harlan Coben ,Orion Books Ltd. ,2013
35,9780434021154,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
36,9780593065709,The affair ,Lee Child ,Bantam ,2011
37,9780099550181,Guilty wives ,James Patterson and David Ellis ,Arrow Books ,2013
38,9780141344980,The third wheel ,by Jeff Kinney ,Puffin ,2012
39,9780141343006,Cabin fever ,Jeff Kinney ,Puffin ,2013
40,9781409113997,A week in winter ,by Maeve Binchy ,Orion ,2012
41,9780099520320,The Bat ,Jo Nesbo ; translated from the Norwegian by Don Bartlett ,Vintage Books ,2013
42,9781408703991,The cuckoo's calling ,by Robert Galbraith ,Sphere ,2013
43,9781780890678,NYPD Red ,James Patterson ,Century ,2012
44,9781780890692,"Merry Christmas, Alex Cross ",James Patterson ,Century ,2012
45,9780230749283,The forgotten ,David Baldacci ,Macmillan ,2012
46,9781846555961,Police ,Jo Nesbo ; translated from the Norwegian by Don Bartlett ,Harvill Secker ,2013
47,9780141340821,The ugly truth ,by Jeff Kinney ,Puffin ,2012
48,9780552778091,The unlikely pilgrimage of Harold Fry ,Rachel Joyce ,Black Swan ,2013
49,9781444757330,The kill room ,by Jeffery Deaver ,Hodder & Stoughton ,2013
