Position,ISBN,Title,Contributor,Publisher,Year 
1,9781409135418,The Hidden Cottage ,Erica James ,Orion ,2013
2,9780751545531,A cottage by the sea ,Carole Matthews ,Sphere ,2013
3,9780241961490,Forgive me ,Lesley Pearse ,Penguin ,2013
4,9780553825527,A wanted man ,Lee Child ,Bantam ,2013
5,9781444729764,The racketeer ,John Grisham ,Hodder & Stoughton ,2013
6,9781471112638,Some Day I'll find you ,Richard Madeley ,Simon & Schuster ,2013
7,9780751552867,The casual vacancy ,JK Rowling ,Sphere ,2013
8,9780099550839,Don't let me go ,Susan Lewis ,Arrow Books ,2013
9,9781409109402,Standing in Another Man's Grave ,Ian Rankin ,Orion Publishing Co ,2013
10,9780340980743,The Carrier ,Sophie Hannah ,Hodder Paperback ,2013
11,9781405909884,Poseidon's arrow ,Clive Cussler and Dirk Cussler ,Penguin Books ,2013
12,9781409117223,Stay close ,Harlan Coben ,Orion Books Ltd. ,2013
13,9781409120315,Trust your eyes ,Linwood Barclay ,Orion ,2013
14,9780718157586,Tempting Fate ,Jane Green ,Penguin books ,2013
15,9780330520331,The forgotten ,David Baldacci ,Pan Books ,2013
16,9780099550181,Guilty wives ,James Patterson and David Ellis ,Arrow Books ,2013
17,9780007350353,The last runaway ,Tracy Chevalier ,Harper ,2013
18,9780099520320,The Bat ,Jo Nesbo; translated from the Norwegian by Don Bartlett ,Vintage Books ,2013
19,9780099570165,The red house ,Mark Haddon ,Vintage ,2013
20,9781849833363,Backlash ,Lynda La Plante ,Simon & Schuster ,2013
21,9780755358793,Instructions for a heatwave ,Maggie O'Farrell ,Tinder Press ,2013
22,9780755371358,Whatever it takes ,Adele Parks ,Headline Review ,2013
23,9781444704891,Watching the dark ,Peter Robinson ,Hodder ,2013
24,9780571290802,Flight behaviour: a novel ,Barbara Kingsolver ,Faber and Faber ,2013
25,9780751544039,Rush of blood ,Mark Billingham ,Sphere ,2013
26,9780718157555,The accidental husband ,Jane Green ,Penguin Books ,2013
27,9781409135470,A night on the Orient Express ,Veronica Henry ,Orion ,2013
28,9780552776424,The soldier's wife ,Joanna Trollope ,Black Swan ,2012
29,9780755355891,Don't want to miss a thing ,Jill Mansell ,Headline Review ,2013
30,9780552775311,Two brothers ,Ben Elton ,Black Swan ,2013
31,9781847562814,Good husband material ,Trisha Ashley ,Avon ,2013
32,9780099562580,The best of daughters ,Dilly Court ,Arrow ,2013
33,9780749955212,The witness ,Nora Roberts ,Piatkus ,2013
34,9780099576433,NYPD Red ,James Patterson ; Marshall Karp ,Arrow Books ,2013
35,9780753827666,Gone girl ,Gillian Flynn ,Phoenix ,2013
36,9781409120834,Citadel ,Kate Mosse ,Orion ,2013
37,9780099550785,No child of mine ,Susan Lewis ,Arrow ,2013
38,9781849831055,The summer house ,Santa Montefiore ,Simon & Schuster ,2013
39,9780330477598,The secret keeper ,Kate Morton ,Pan Books ,2013
40,9780007315109,Bring up the bodies ,Hilary Mantel ,Fourth Estate ,2013
41,9780099550280,Criminal ,Karin Slaughter ,Arrow Books ,2013
42,9780857382252,The chess men ,Peter May ,Quercus ,2013
43,9780099571032,The Saint Zita Society ,Ruth Rendell ,Arrow Books ,2013
44,9780099550174,Kill me if you can ,James Patterson ,Arrow Books ,2012
45,9780099578628,Heartbreak Hotel ,Deborah Moggach ,Vintage Books ,2013
46,9780241950333,Klein Novel Tuesday's Gone: A Frieda ,Nicci French ,Penguin Books Ltd ,2013
47,9781409136293,The impossible dead ,Ian Rankin ,Orion ,2012
48,9780099569428,Nightingale sisters ,Donna Douglas ,Arrow ,2013
49,9780099554783,Phantom ,Jo Nesbo ,Vintage ,2013
50,9781409135395,The real Katie Lavender ,Erica James ,Orion ,2012
51,9780340937334,XO ,Jeffery Deaver ,Hodder ,2013
52,9780330515573,Not dead yet ,Peter James ,Pan ,2012
53,9781471114618,It's raining men ,Milly Johnson ,Simon & Schuster ,2013
54,9780571279173,The expats ,Chris Pavone ,Faber and Faber ,2013
55,9780141399645,The woman who went to bed for a year ,Sue Townsend ,Michael Joseph ,2012
56,9780099574651,A forget-me-not summer ,Katie Flynn ,Arrow Books ,2013
