Authority,Domain,Grade,HTTPS,Issues
Aberdeen City,aberdeencity.spydus.co.uk,F,Yes,Mixed Content
Aberdeenshire,aberdeenshire.spydus.co.uk,F,Yes,Mixed Content
Anglesey,capitadiscovery.co.uk,A,Yes,Allows HTTP
Angus,angus.spydus.co.uk,F,Yes,Mixed Content
Argyll and Bute,argyll-bute.spydus.co.uk,C,Yes,Mixed Content
Barking and Dagenham,arena.yourlondonlibrary.net,A,Yes,OK
Barnet,www.libraries.barnet.gov.uk,U,No,Only HTTP
Barnsley,capitadiscovery.co.uk,A,Yes,Allows HTTP
Bath and North East Somerset,www.librarieswest.org.uk,A,Yes,OK
Bedford,beds-arena.culturalservices.net,A,Yes,OK
Bexley,arena.yourlondonlibrary.net,A,Yes,OK
Birmingham,library-opac.birmingham.gov.uk,A,Yes,OK
Blackburn with Darwen,bwdlibraries.spydus.co.uk,C,Yes,Mixed Content
Blackpool,libraries.blackpool.gov.uk,T,No,Only HTTP
Blaenau Gwent,librarycatalogue.aneurinleisure.org.uk,U,No,Only HTTP
Bolton,bolton.spydus.co.uk,C,Yes,Mixed Content
Bournemouth,capitadiscovery.co.uk,A,Yes,Allows HTTP
Bracknell Forest,capitadiscovery.co.uk,A,Allows HTTP
Bradford,capitadiscovery.co.uk,A,Yes,Allows HTTP
Brent,arena.yourlondonlibrary.net,A,Yes,Mixed Content
Bridgend,opac.awen-wales.com,F,Yes,Mixed Content
Brighton and Hove,brighton-hove.spydus.co.uk,F,Yes,Mixed Content
Bristol City,www.librarieswest.org.uk,A+,Yes,OK
Bromley,arena.yourlondonlibrary.net,A,Yes,Mixed Content
Buckinghamshire,buckinghamshire.spydus.co.uk,F,Yes,Allows HTTP
Bury,library.bury.gov.uk,F,Yes,Vulnerable
Caerphilly,libraries.caerphilly.gov.uk,U,No,Only HTTP
Calderdale,online.calderdale.gov.uk,F,Yes,Allows HTTP
Cambridgeshire,cambridgeshire.spydus.co.uk,C,Yes,Allows HTTP
Camden,camden.spydus.co.uk,F,Yes,Mixed Content
Cardiff,ibistro.cardiff.gov.uk,F,No,Only HTTP
Carmarthenshire,212.219.142.126,F,No,Only HTTP
Ceredigion,libraries.ceredigion.gov.uk,U,Yes,AllowsHTTP
Cheshire West and Chester,cheslive.koha-ptfs.co.uk,F,Yes,Vulnerable
Cheshire East,cheslive.koha-ptfs.co.uk,F,Yes,Vulnerable
City of London,col.ent.sirsidynix.net.uk,A+,Yes,OK
Clackmannanshire,vufind-cl.sedar.org.uk,C,Yes,Allows HTTP
Conwy,capitadiscovery.co.uk,A,Yes,Allows HTTP
Cornwall,capitadiscovery.co.uk,A,Yes,Mixed Content
Coventry,librarycatalogue.coventry.gov.uk,C,Yes,OK
Croydon,catalogue.croydonlibraries.com,F,No,Only HTTP
Cumbria,cmbr.ent.sirsidynix.net.uk,A+,No,Only HTTP
Darlington,www2.darlington.gov.uk,T,No,Only HTTP
Denbighshire,onlinelibrary.denbighshire.gov.uk,B,Yes,OK
Derby City,emlib.ent.sirsidynix.net.uk,A+,Yes,Mixed Content
Derbyshire,emlib.ent.sirsidynix.net.uk,A+,Yes,Mixed Content
Devon,www.devon.gov.uk,C,No,Only HTTP
Doncaster,library.doncaster.gov.uk,T,No,Only HTTP
Dorset,www.librarieswest.org.uk,A+,Yes,OK
Dudley,libcat.dudley.gov.uk,A,Yes,Vulnerable
Dumfries and Galloway,library.dumgal.gov.uk,U,No,Only HTTP
Dundee City,opac.dundeecity.gov.uk,U,No,Only HTTP
Durham,libraryonline.durham.gov.uk,C,Yes,OK
Ealing,arena.yourlondonlibrary.net,A,Yes,Mixed Content
East Ayrshire,libcatalogue.east-ayrshire.gov.uk,U,No,Only HTTP
East Dunbartonshire,vufind-ed.sedar.org.uk,C,Yes,Allows HTTP
East Lothian,capitadiscovery.co.uk,A,Yes,Allows HTTP
East Renfrewshire,capitadiscovery.co.uk,A,Yes,Allows HTTP
East Riding,library.eastriding.gov.uk,A,Yes,Vulnerable
East Sussex,e-library.eastsussex.gov.uk,C,Yes,Vulnerable
Edinburgh,capitadiscovery.co.uk,A,Yes,Allows HTTP
Enfield,arena.yourlondonlibrary.net,A,Yes,OK
Essex,librarycatalogue.essex.gov.uk,F,Yes,Allows HTTP
Falkirk,fct.ent.sirsidynix.net.uk,A+,No,Only HTTP
Fife,capitadiscovery.co.uk,A,Yes,Allows HTTP
Flintshire,libraryonline.flintshire.gov.uk,U,No,Only HTTP
Gateshead,capitadiscovery.co.uk,A,Yes,Allows HTTP
Glasgow,libcat.csglasgow.org,T,No,Only HTTP
Gloucestershire,capitadiscovery.co.uk,A,Yes,Allows HTTP
Greenwich,capitadiscovery.co.uk,U,
Guernsey,capitadiscovery.co.uk,A,Yes,Allows HTTP
Gwynedd,capitadiscovery.co.uk,A,Yes,Allows HTTP
Hackney,arena.yourlondonlibrary.net,A,Yes,Mixed Content
Halton,hpl.koha-ptfs.eu,C,Yes,Allows HTTP
Hammersmith and Fulham,trib.ent.sirsidynix.net.uk,A+,Yes,OK
Hampshire,librarycat.hants.gov.uk,C,Yes,Vulunerable
Haringey,capitadiscovery.co.uk,A,Yes,Allows HTTP
Harrow,arena.yourlondonlibrary.net,A,Yes,Mixed Content
Hartlepool,capitadiscovery.co.uk,A,Yes,Allows HTTP
Havering,arena.yourlondonlibrary.net,A,Yes,Mixed Content
Herefordshire,capitadiscovery.co.uk,A,Yes,Allows HTTP
Hertfordshire,herts.spydus.co.uk,F,Yes,Mixed Content
Highland,hlh.spydus.co.uk,A,Yes,Mixed Content
Hillingdon,hldn.ent.sirsidynix.net.uk,A+,No,Only HTTP
Hounslow,www.hounslowlibraries.org,T,No,HTTP Only
Hull,prismcollect.hullcc.gov.uk,U,No,HTTP Only
Inverclyde,ipac.inverclyde-libraries.org,U,No,HTTP Only
Isle of Wight,iow.spydus.co.uk,F,Yes,Allows HTTP
Isle of Man,www.douglas.gov.im,F,No,Only HTTP
Islington,capitadiscovery.co.uk,A,Yes,Allows HTTP
Jersey,capitadiscovery.co.uk,A,Yes,Allows HTTP
Kensington and Chelsea,trib.ent.sirsidynix.net.uk,A+,Yes,OK
Kent,kent.spydus.co.uk,F,Yes,Mixed Content
Kingston,arena.yourlondonlibrary.net,A,Yes,OK
Kirklees,kir.ent.sirsidynix.net.uk,A+,No,Only HTTP
Knowsley,kmbc.sdp.sirsidynix.net.uk,T,No,Only HTTP
Lambeth,capitadiscovery.co.uk,A,Yes,Allows HTTP
Lancashire,capitadiscovery.co.uk,A,Yes,Allows HTTP
Leeds,capitadiscovery.co.uk,U,Yes,Allows HTTP
Leicester City,bookfinder.leicester.gov.uk,A,Yes,OK
Leicestershire,emlib.ent.sirsidynix.net.uk,A+,Yes,OK
Lewisham,arena.yourlondonlibrary.net,A,Yes,OK
Lincolnshire,lincolnshire.spydus.co.uk,C,Yes,OK
Liverpool,capitadiscovery.co.uk,A,Yes,Allows HTTP
Luton,arena.yourlondonlibrary.net,A,Yes,OK
Manchester,manchester.spydus.co.uk,C,Yes,OK
Medway,medway.spydus.co.uk,F,Yes,Mixed Content
Merthyr Tydfil,capitadiscovery.co.uk,A,Yes,Allow HTTP
Merton,arena.yourlondonlibrary.net,A,Yes,OK
Middlesbrough,libraries.middlesbrough.gov.uk,B,Yes,OK
Midlothian,libraries.midlothian.gov.uk,A,Yes,OK
Milton Keynes,miltonkeynes.spydus.co.uk,F,Yes,Allows HTTP
Monmouthshire,catalogue.monmouthshire.gov.uk,U,No,Only HTTP
Moray,capitadiscovery.co.uk,A,Yes,Allows HTTP
Neath Port Talbot,212.219.142.126,A,No,Only HTTP
Newcastle,library.newcastle.gov.uk,A,Yes,OK
Newham,arena.yourlondonlibrary.net,A,Yes,OK
Newport,opac.newport.gov.uk,C,Yes,OK
Norfolk,norfolk.spydus.co.uk,C,Yes,OK
North Ayrshire,capitadiscovery.co.uk,A,Yes,Mixed Content
North East Lincolnshire,www.lincsinspirelibraries.com,T,No,Only HTTP
North Lanarkshire,librariesnl.northlan.gov.uk,F,Yes,Vulnerable
North Lincolnshire,www.opac.northlincs.gov.uk,T,No,Only HTTP
North Somerset,www.librarieswest.org.uk,A+,Yes,OK
North Tyneside,capitadiscovery.co.uk,A,Yes,Allows HTTP
North Yorkshire,capitadiscovery.co.uk,A,Yes,Allows HTTP
Northamptonshire,www.librarycatalogue.northamptonshire.gov.uk,A,Yes,Vulnerable
Northumberland,library.northumberland.gov.uk,U,No,Only HTTP
Nottingham City,emlib.ent.sirsidynix.net.uk,A+,Yes,Mixed Content
Nottinghamshire,emlib.ent.sirsidynix.net.uk,A+,Yes,Mixed Content
Northern Ireland,lni.ent.sirsidynix.net.uk,A+,Yes,Vulnerable
Oldham,oldham.spydus.co.uk,C,Yes,Mixed Content
Orkney,capitadiscovery.co.uk,A,Yes,Allows HTTP
Oxfordshire,libcat.oxfordshire.gov.uk,F,,Yes,Vulnerable
Pembrokeshire,212.219.142.126,U,No,Only HTTP
Perth and Kinross,pkc.spydus.co.uk,F,Yes,Mixed Content
Peterborough,peterborough.spydus.co.uk,F,Yes,Allows HTTP
Plymouth,www.webopac.plymouth.gov.uk,C,Yes,OK
Poole,www.librarieswest.org.uk,A+,Yes,OK
Portsmouth,librarycat.portsmouth.gov.uk,A-,Yes,OK
Powys,powys.sirsidynix.net.uk,U,No,Only HTTP
Reading,reading-hip.epixtech.co.uk,U,No,Only HTTP
Redbridge,arena.yourlondonlibrary.net,A,Yes,OK
Redcar & Cleveland,libraries.redcar-cleveland.gov.uk,A,Yes,OK
Renfrewshire,libcat.renfrewshire.gov.uk,B,Yes,OK
Rhondda Cynon Taf,capitadiscovery.co.uk,A,Yes,Allows HTTP
Richmond,richmond.spydus.co.uk,F,Yes,Mixed Content
Rochdale,rochdale.spydus.co.uk,C,Yes,Mixed Content
Rotherham,capitadiscovery.co.uk,A,Yes,Allows HTTP
Rutland,emlib.ent.sirsidynix.net.uk,A+,Yes,Mixed Content
Salford,salfordlibraries.spydus.co.uk,C,Yes,Mixed Content
Sandwell,opac-lib.smbc.sandwell.gov.uk,F,Yes,Vulnerable
Scottish Borders,librarysearch.scotborders.gov.uk,F,Yes,Vulnerable
Sefton,catalogue2.sefton.gov.uk,B,Yes,OK
Sheffield,library.sheffield.gov.uk,U,No,Only HTTP
Shetland,capitadiscovery.co.uk,A,Yes,Allows HTTP
Shropshire,libraries.shropshire.gov.uk,A,Yes,OK
Slough,slough.spydus.co.uk,F,Yes,Mixed Content
Solihull,capitadiscovery.co.uk,A,Yes,Allows HTTP
Somerset,www.librarieswest.org.uk,A+,Yes,OK
South Ayrshire,library.south-ayrshire.gov.uk,F,Yes,Vulnerable
South Gloucestershire,www.librarieswest.org.uk,A+,Yes,OK
