Position,ISBN,Title,Contributor,Publisher,Year 
1,9780593065747,Never go back ,Lee Child ,Bantam Press ,2013
2,9781447225287,The hit ,David Baldacci ,Macmillan ,2013
3,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
4,9781409144571,Six years ,Harlan Coben ,Orion ,2013
5,9781780890234,Second honeymoon ,James Patterson ,Century ,2013
6,9781846058905,Private down under ,"James Patterson, Michael White ",Century ,2013
7,9781846059971,Unseen ,Karin Slaughter ,Century ,2013
8,9780593065730,A wanted man ,Lee Child ,Bantam ,2012
9,9781780890258,Mistress ,James Patterson and David Ellis ,Century ,2013
10,9781780890296,12th of never ,James and Patterson Maxine Paetro ,Century ,2013
11,9780749958114,Whiskey Beach ,Nora Roberts ,Piatkus ,2013
12,9781409134312,The black box ,Michael Connelly ,Orion ,2012
13,9780749959364,Thankless in death ,JD Robb ,Piatkus ,2013
14,9781846057830,"Alex Cross, run ",James Patterson ,Century ,2013
15,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
16,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
17,9780230749283,The forgotten ,David Baldacci ,Macmillan ,2012
18,9781444704914,Children of the revolution ,Peter Robinson ,Hodder & Stoughton ,2013
19,9781780890678,NYPD Red ,James Patterson ,Century ,2012
20,9781780890173,Private Berlin ,James Patterson with Mark T Sullivan ,Century ,2013
21,9781780890692,"Merry Christmas, Alex Cross ",James Patterson ,Century ,2012
22,9780753827666,Gone girl ,Gillian Flynn ,Phoenix ,2013
23,9781409140603,Flora and Grace ,Maureen Lee ,Orion ,2013
24,9780434021154,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
25,9780749013899,Heir to greyladies ,Anna Jacobs ,Allison & Busby ,2013
26,9781472101006,Home front girls ,Rosie Goodwin ,Canvas ,2013
27,9780749959340,Calculated in death ,JD Robb ,Piatkus ,2013
28,9781409144717,Standing in another man's grave ,Ian Rankin ,Orion ,2012
29,9780593063163,First sight ,Danielle Steel ,Bantam Press ,2013
30,9780230748248,Best kept secret ,Jeffrey Archer ,Macmillan ,2013
31,9780007419890,The broken man ,Josephine Cox ,HarperCollins ,2013
32,9781444780437,The October list ,Jeffery Deaver ,Hodder & Stoughton ,2013
33,9781409144748,Saints of the shadow bible ,Ian Rankin ,Orion ,2013
34,9780230760172,Dead water ,Ann Cleeves ,Macmillan ,2013
35,9781444761245,The trader's gift ,Anna Jacobs ,Hodder & Stoughton ,2013
36,9780727882561,A place of hope ,Anna Jacobs ,Severn House ,2013
37,9781444729740,The racketeer ,John Grisham ,Hodder & Stoughton ,2012
38,9780755375615,Revenge ,Martina Cole ,Headline ,2013
39,9780593065709,The affair ,Lee Child ,Bantam ,2011
40,9780718158149,"Save with Jamie : shop smart, cook clever, waste less ",Jamie Oliver ,Michael Joseph ,2013
41,9781444765564,Sycamore Row ,John Grisham ,Hodder & Stoughton ,2013
42,9781409134343,The gods of guilt ,Michael Connelly ,Orion ,2013
43,9780755384709,Dreaming out loud ,Benita Brown ,Headline ,2013
44,9781447225300,King and Maxwell ,David Baldacci ,Macmillan ,2013
45,9781444757330,The kill room ,Jeffery Deaver ,Hodder & Stoughton ,2013
