Position,ISBN,Title,Contributor,Publisher,Year 
1,9781846058905,Private down under ,"James Patterson, Michael  White ",Century ,2013
2,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
3,9780553825527,A wanted man ,Lee Child ,Bantam ,2013
4,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
5,9781846057830,"Alex Cross, run ",James Patterson ,Century ,2013
6,9781780890258,Mistress ,James Patterson and David Ellis ,Century ,2013
7,9781409144571,Six years ,Harlan Coben ,Orion ,2013
8,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
9,9780593065747,Never go back ,Lee Child ,Bantam Press ,2013
10,9781444757330,The kill room ,Jeffery Deaver ,Hodder & Stoughton ,2013
11,9781780890296,12th of never ,James Patterson and Maxine Paetro ,Century ,2013
12,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
13,9781780890234,Second honeymoon ,James Patterson ,Century ,2013
14,9780593065730,A wanted man ,Lee Child ,Bantam ,2012
15,9781444000160,Horrid Henry's nightmare ,Francesca Simon; ill. by Tony Ross ,Orion Children's Books ,2013
16,9780553825480,Worth dying for ,Lee Child ,Bantam Books ,2011
17,9780857531117,Queenie ,Jacqueline Wilson; ill. by Nick Sharratt ,Doubleday ,2013
18,9780007453528,Ratburger ,David Walliams ,HarperCollins Children's ,2012
19,9780099576433,NYPD Red ,James Patterson ; Marshall Karp ,Arrow Books ,2013
20,9781846059971,Unseen ,Karin Slaughter ,Century ,2013
21,9780718158149,"Save with Jamie : shop smart, cook clever, waste less ",Jamie Oliver ,Michael Joseph ,2013
22,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
23,9780141331973,Dog days ,Jeff Kinney ,Puffin ,2010
24,9781849920186,Shark in the dark! ,Nick Sharratt ,David Fickling ,2010
25,9780007435036,The trap ,Kimberley Chambers ,Harper ,2013
26,9780099550181,Guilty wives ,James Patterson and David Ellis ,Arrow Books ,2013
27,9780007371464,Gangsta granny ,David Walliams; ill. by Tony Ross ,HarperCollins Children's ,2012
28,9781409109402,Standing in Another Man's Grave ,Ian Rankin ,Orion Publishing Co ,2013
29,9780755375592,The life ,Martina Cole ,Headline ,2013
30,9780099550174,Kill me if you can ,James Patterson ,Arrow Books ,2012
31,9781780890692,"Merry Christmas, Alex Cross ",James Patterson ,Century ,2012
