Position,ISBN,Title,Contributor,Publisher,Year 
1,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
2,9780593065747,Never go back ,Lee Child ,Bantam Press ,2013
3,9781409144571,Six years ,Harlan Coben ,Orion ,2013
4,9780593065730,A wanted man ,Lee Child ,Bantam ,2012
5,9781846058905,Private down under ,"James Patterson, Michael White ",Century ,2013
6,9781846057830,"Alex Cross, run ",James Patterson ,Century ,2013
7,9781780890234,Second honeymoon ,James Patterson ,Century ,2013
8,9781780890296,12th of never ,James Patterson and Maxine Paetro ,Century ,2013
9,9781409134312,The black box ,Michael Connelly ,Orion ,2012
10,9781447225287,The hit ,David Baldacci ,Macmillan ,2013
11,9781444729740,The racketeer ,John Grisham ,Hodder & Stoughton ,2012
12,9780755356980,Pray for the dying ,Quintin Jardine ,Headline ,2013
13,9781846059971,Unseen ,Karin Slaughter ,Century ,2013
14,9781780890258,Mistress ,James Patterson and David Ellis ,Century ,2013
15,9781780890678,NYPD Red ,James Patterson ,Century ,2012
16,9780007344260,Close to the bone ,Stuart MacBride ,HarperCollins ,2013
17,9780593065709,The affair ,Lee Child ,Bantam ,2011
18,9781408704202,The casual vacancy ,JK Rowling ,Little Brown ,2012
19,9781409144717,Standing in another man's grave ,Ian Rankin ,Orion ,2012
20,9780857382238,The chess men ,Peter May ,Quercus ,2013
21,9780230749283,The forgotten ,David Baldacci ,Macmillan ,2012
22,9781780890173,Private Berlin ,James Patterson with Mark T Sullivan ,Century ,2013
23,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
24,9780752889535,The impossible dead ,Ian Rankin ,Orion ,2011
25,9780749958114,Whiskey Beach ,Nora Roberts ,Piatkus ,2013
26,9780718158149,"Save with Jamie : shop smart, cook clever, waste less ",Jamie Oliver ,Michael Joseph ,2013
27,9781780890692,"Merry Christmas, Alex Cross ",James Patterson ,Century ,2012
28,9781408842423,And the mountains echoed ,Khaled Hosseini ,Bloomsbury ,2013
29,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
30,9781780890135,Cross my heart ,James Patterson ,Cornerstone Digital ,2013
31,9780007419890,The broken man ,Josephine Cox ,HarperCollins ,2013
32,9781409144748,Saints of the shadow bible ,Ian Rankin ,Orion ,2013
33,9781409134343,The gods of guilt ,Michael Connelly ,Orion ,2013
34,9781444757330,The kill room ,Jeffery Deaver ,Hodder & Stoughton ,2013
35,9781846057892,Guilty wives ,James Patterson ,Century ,2012
36,9781846057960,Criminal ,Karin Slaughter ,Century ,2012
37,9780593063163,First sight ,Danielle Steel ,Bantam Press ,2013
38,9780753827666,Gone girl ,Gillian Flynn ,Phoenix ,2013
39,9781405913140,Natural causes ,James Oswald ,Penguin Books ,2013
40,9781849837057,Daddy's gone a-hunting ,Mary Higgins Clark ,Simon & Schuster ,2013
41,9781409115021,Trust your eyes ,Linwood Barclay ,Orion ,2012
42,9781849393874,The day Louis got eaten ,John Fardell ,Andersen ,2012
43,9781409113997,A week in winter ,Maeve Binchy ,Orion ,2012
44,9780434021154,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
45,9780755388271,Touch & go ,Lisa Gardner ,Headline ,2013
46,9781405913164,The book of souls ,James Oswald ,Michael Joseph ,2013
47,9781444736533,True colours ,Stephen Leather ,Hodder & Stoughton ,2013
48,9781846551451,The Bat ,Jo Nesbo; translated by Don Bartlett ,Harvill Secker ,2012
49,9781444780437,The October list ,Jeffery Deaver ,Hodder & Stoughton ,2013
50,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
51,9781447225300,King and Maxwell ,David Baldacci ,Macmillan ,2013
52,9780857899019,Mystery Writers of America presents Vengeance ,Edited by Lee Child ,Corvus ,2012
53,9781409109594,The 9th girl ,Tami Hoag ,Orion ,2013
54,9781409115052,A tap on the window ,Linwood Barclay ,Orion ,2013
55,9781408703991,The cuckoo's calling ,Robert Galbraith ,Sphere ,2013
56,9780230760547,Dead man's time ,Peter James ,Macmillan ,2013
57,9780385618670,Life after life ,Kate Atkinson ,Doubleday ,2013
58,9781444765564,Sycamore Row ,John Grisham ,Hodder & Stoughton ,2013
59,9780718159009,Forgive me ,Lesley Pearse ,Michael Joseph ,2013
60,9781409141419,Never saw it coming ,Linwood Barclay ,Orion ,2013
61,9781847445650,The Swedish girl ,Alex Gray ,Sphere ,2013
62,9780755375615,Revenge ,Martina Cole ,Headline ,2013
63,9781408704561,Cross and burn ,Val McDermid ,Little Brown and Company,2013
64,9780593057063,61 hours ,Lee Child ,Bantam ,2010
65,9780230749245,Zero day ,David Baldacci ,Macmillan ,2011
66,9781846058295,Zoo ,James Patterson & Michael Ledwidge ,Century ,2012
67,9781846555961,Police ,Jo Nesbo ; translated from the Norwegian by Don Bartlett ,Harvill Secker ,2013
68,9780007344208,Birthdays for the dead ,Stuart MacBride ,Harper ,2012
69,9781407108018,Jumblebum ,Chae Strathie; ill. by Ben Cort ,Scholastic ,2013
70,9780007453528,Ratburger ,David Walliams ,HarperCollins Children's ,2012
71,9781849163866,The blackhouse ,Peter May ,Quercus ,2011
72,9780755375578,The life ,Martina Cole ,Headline ,2012
73,9780091944551,An officer and a spy ,Robert Harris ,Hutchinson ,2013
74,9780141344980,The third wheel ,Jeff Kinney ,Puffin ,2012
75,9781444766639,The storyteller ,Jodi Picoult ,Hodder & Stoughton ,2013
76,9781846057854,Private : no. 1 suspect ,James Patterson ,Century ,2012
77,9780230760172,Dead water ,Ann Cleeves ,Macmillan ,2013
78,9781409134282,The drop ,Michael Connelly ,Orion ,2011
79,9781409140603,Flora and Grace ,Maureen Lee ,Orion ,2013
80,9781472101006,Home front girls ,Rosie Goodwin ,Canvas ,2013
81,9781409140719,The Red Road ,Denise Mina ,Orion Books ,2013
82,9781444761245,The trader's gift ,Anna Jacobs ,Hodder & Stoughton ,2013
83,9781405258210,Code name Verity ,Elizabeth Wein ,Electric Monkey ,2012
84,9780007373659,The honey queen ,Cathy Kelly ,HarperCollins ,2013
85,9780230748248,Best kept secret ,Jeffrey Archer ,Macmillan ,2013
86,9780230757622,Vicious circle ,Wilbur Smith ,Macmillan ,2013
87,9780755385751,The empty cradle ,Rosie Goodwin ,Headline ,2012
88,9780593063262,Last to die ,Tess Gerritsen ,Bantam ,2012
89,9781408703946,The quarry ,Iain Banks ,Little Brown and Company,2013
90,9780091952945,The servant girl ,Maggie Hope ,Ebury Press ,2013
91,9780593063149,Until the end of time ,Danielle Steel ,Bantam ,2013
92,9780718156985,Waiting for Wednesday : a Frieda Klein novel ,Nicci French ,Michael Joseph ,2013
93,9781471114946,Silent victims ,Lynda La Plante ,Simon & Schuster ,2013
94,9781444704914,Children of the revolution ,Peter Robinson ,Hodder & Stoughton ,2013
95,9780593063187,Winners ,Danielle Steel ,Bantam Press ,2013
96,9780857382221,The Lewis man ,Peter May ,Quercus ,2012
97,9780755371877,Sunlight on the Mersey ,Lyn Andrews ,Headline ,2012
98,9780593070147,Wedding night ,Sophie Kinsella ,Bantam ,2013
99,9780553826166,Killing floor ,Lee Child ,Bantam ,2010
100,9781408703441,The bone bed ,Patricia Cornwell ,Little Brown ,2012
101,9780755378432,Things we never say ,Sheila O'Flanagan ,Headline Review ,2013
102,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
