Position,ISBN,Title,Contributor,Publisher,Year
1,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
2,9780099927907,Dogger ,Shirley Hughes ,Red Fox ,1993
3,9780141341880,Cabin fever ,Jeff Kinney ,Puffin ,2011
4,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
5,9780140569803,Harry and the bucketful of dinosaurs ,Ian Whybrow + ill Adrian Reynolds ,Puffin Books ,2003
6,9780593065747,Never go back ,Lee Child ,Bantam Press ,2013
7,9781408832462,Jokes to tell the Queen , ,Bloomsbury Children's ,2012
8,9780593065730,A wanted man ,Lee Child ,Bantam ,2012
9,9780141331973,Dog days ,Jeff Kinney ,Puffin ,2010
10,9780141344980,The third wheel ,Jeff Kinney ,Puffin ,2012
11,9781407115597,Zog ,Julia Donaldson; ill. by Axel Scheffler ,Alison Green ,2011
12,9780141324913,Rodrick rules ,Jeff Kinney ,Puffin ,2008
13,9780718158149,"Save with Jamie : shop smart, cook clever, waste less ",Jamie Oliver ,Michael Joseph ,2013
14,9780241956960,No way to say goodbye ,Anna McPartlin ,Penguin Ireland ,2011
15,9780440868514,Best friends ,Jacqueline Wilson; ill. by Nick Sharratt ,Yearling ,2008
16,9780333982242,The snail and the whale, Julia Donaldson: ill. by Axel Scheffler ,Macmillan Children's,2003
17,9781409144717,Standing in another man's grave ,Ian Rankin ,Orion ,2012
18,9780007155170,The treasure hunt ,Nick Butterworth ,HarperCollins Children's> ,2011
19,9780552557832,Sleepovers ,Jacqueline Wilson; ill. by Nick Sharratt ,Young Corgi ,2008
20,9781409313212,The biggest muddy puddle in the world , ,Ladybird books ; ,2012
21,9780007427727,Paddington goes for gold ,Michael Bond; ill. by RW Alley ,HarperCollins Children's ,2012
22,9781846163777,Small Knight and George ,Ronda Armitage; ill. by Arthur Robins ,Orchard ,2008
23,9781407106212,Tiddler ,Julia Donaldson; ill. by Axel Scheffler ,Alison Green ,2008
24,9781408309179,"Don't put your pants on your head, Fred ","Caryl Hart, Leigh Hodgkinson ",Orchard ,2012
25,9781842551356,Horrid Henry and the zombie vampire ,Francesca Simon; ill. by Tony Ross ,Orion Children's ,2011
26,9781921894107,Pink ,Janet A Holmes and Jonathan Bentley ,Little Hare ,2012
27,9780007279067,Mr Stink ,David Walliams; ill. by Quentin Blake ,HarperCollins Children's ,2010
28,9781409313205,Peppa meets the Queen , ,Ladybird ,2012
29,9780141322667,Matilda ,Roald Dahl: ill Quentin Blake ,Penguin Books Ltd ,2007
30,9780141331232,Meg goes to bed ,Helen Nicoll and Jan Pienkowski ,Puffin ,2010
31,9780230748248,Best kept secret ,Jeffrey Archer ,Macmillan ,2013
32,9781849393843,The great sheep shenanigans ,Peter Bently & Mei Matsuoka ,Andersen ,2011
33,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
34,9781849830720,Already gone ,John Rector ,Simon & Schuster ,2011
35,9780593062869,The last ten seconds ,Simon Kernick ,Bantam ,2010
36,9780140312386,Mrs Plug the plumber ,Allan Ahlberg: with pictures Joe Wright ,Puffin Books ,1980
37,9781848953215,Bright Stanley Double Trouble ,Matt Buckingham ,Little Tiger Press ,2012
38,9781444704891,Watching the dark ,Peter Robinson ,Hodder ,2013
39,9780330537971,The Dinosaur Games ,David Bedford; ill. by Dankerleroux ,Macmillan Children's ,2011
40,9781405090223,"Orange, pear, apple, bear ",Emily Gravett ,Macmillan Children's ,2007
41,9780140500486,The elephant and the bad baby ,Elfrida Vipont; ill. by Raymond Briggs,Penguin ,1971
42,9780007453528,Ratburger ,David Walliams ,HarperCollins Children's ,2012
43,9780752876276,The return journey : and other stories ,Maeve Binchy ,Orion ,2009
44,9781845299545,Agatha Raisin and the busy body ,M.C. Beaton ,Constable ,2010
45,9781846163111,Bleeping Beauty ,Laurence Anholt ,Orchard Books ,2009
46,9781845296681,Death of an outsider ,M.C. Beaton ,Robinson ,2008
47,9780141320588,Beware! Killer tomatoes ,Jeremy Strong; ill. by Rowan Clifford ,Puffin ,2007
48,9780140566796,Mystery tour ,Allan Ahlberg; ill. by Andre Amstutz ,Puffin ,2006
49,9780007279043,The boy in the dress ,David Walliams; ill. by Quentin Blake ,HarperCollins Children's ,2009
50,9780140553567,Bear Hunt ,Anthony Browne,Puffin Books ,1994
51,9781408307724,Who's afraid of the big bad book? ,Lauren Child,Orchard ,2012
52,9780007362714,Hidden treasures ,Fern Britton,HarperCollins ,2012
53,9781849832885,A gathering storm ,Rachel Hore,Simon & Schuster ,2011
54,9781846057854,Private : no. 1 suspect ,James Patterson,Century ,2012
55,9780747581048,Henny Penny ,Vivian French & Sophie Windham,Bloomsbury Children's ,2007
56,9780755349289,3rd degree ,James Patterson and Andrew Gross,Headline ,2009
57,9781416917052,Aliens love underpants!,Claire Freedman and Ben Cort ,Simon & Schuster Childrens,2007
58,9780330544306,Jenny's war ,Margaret Dickinson,Macmillan ,2012
59,9781847444813,Dead and buried ,Stephen Booth ,Sphere ,2012
60,9781849010221,Death of a kingfisher ,M.C. Beaton ,Constable ,2012
61,9780141329444,"My best, best friend",Lauren Child,Puffin ,2010
62,9780333720011,Monkey puzzle, Julia Donaldson: ill. Axel Scheffler,Macmillan Children's ,2000
63,9780099413998,Rosie's walk ,Pat Hutchins,Red Fox,2001
64,9780007155156,After the storm, Nick Butterworth, Collins,2003
65,9780099480136,Edwardo the horriblest boy in the whole wide world ,John Burningham ,Red Fox ,2007
66,9781408309032,Big yellow digger ,Julia Jarman & Adrian Reynolds ,Orchard ,2012
67,9780440869979,The Tracy Beaker trilogy ,Jacqueline Wilson; ill. by Nick Sharratt ,Corgi Yearling ,2012
68,9780440869283,The worst thing about my sister ,Jacqueline Wilson; ill. by Nick Sharratt ,Yearling ,2012
69,9780552558310,Cookie ,Jacqueline Wilson ,Corgi Children's ,2009
70,9781846058905,Private down under ,"James Patterson, Michael White ",Century ,2013
71,9781780890296,12th of never ,James Patterson and Maxine Paetro ,Century ,2013
72,9781780890678,NYPD Red ,James Patterson ,Century ,2012
73,9780992603113,The Wellington cobbler and the Wrekin giant,Dave Weston & Toni Sian Williams,Ellingham ,2013
74,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
75,9781405020466,The Gruffalo's child ,Julia Donaldson; ill. by Axel Scheffler ,Macmillan Children's ,2004
76,9781780290010,Kissing the demons ,Kate Ellis ,Creme de la Crime ,2011
77,9780230748231,The sins of the father ,Jeffrey Archer ,Macmillan ,2012
78,9780440869139,The longest whale song ,Jacqueline Wilson; ill. by Nick Sharratt ,Corgi Yearling ,2011
79,9780755349395,"Mary, Mary ",James Patterson ,Headline,2010
80,9781444001174,Moody Margaret casts a spell ,Francesca Simon; ill. by Tony Ross ,Orion Children's ,2012
81,9781444902679,Wibbly Pig has 10 balloons ,Mick Inkpen ,Hodder Children's ,2012
82,9781405090759,Meerkat mail ,Emily Gravett ,Pan MacmillanAustralia,2007
83,9781408703991,The cuckoo's calling ,Robert Galbraith ,Sphere ,2013
84,9781447211341,Knock! Knock! Open the Door ,"Michaela Morgan, ill. David Walker ",Macmillan Children's Book ,2013
85,9781780890258,Mistress ,James Patterson and David Ellis ,Century ,2013
86,9780230017948,The troll ,Julia Donaldson; ill. by David Roberts ,Macmillan Children's ,2010
87,9781840115949,The dragon machine ,Helen Ward; ill. by Wayne Anderson ,Templar ,2005
88,9781846057830,"Alex Cross, run ",James Patterson ,Century ,2013
89,9781408842423,And the mountains echoed ,Khaled Hosseini ,Bloomsbury ,2013
90,9781409112556,Stay close ,Harlan Coben ,Orion ,2012
91,9781409113997,A week in winter ,Maeve Binchy ,Orion ,2012
92,9780340996430,The Great Fairy Tale Disaster ,David Conway + Melanie Williamson ,Hodder ,2012
93,9780099446637,Restoring Grace ,Katie Fforde ,Arrow ,2005
94,9781849019729,Hiss and hers ,M.C. Beaton ,Constable ,2012
95,9781846054709,Worst case ,James Patterson ,Century ,2010
96,9780141322650,Fantastic Mr Fox ,Roald Dahl + ill Quentin Blake ,Penguin Books Ltd ,2007
97,9781408700754,From the dead ,Mark Billingham ,Little Brown ,2010
98,9780857630445,Goldilocks and just the one bear ,Leigh Hodgkinson ,Nosy Crow ,2012
99,9780099438663,Rotten and Rascal : the two terrible pterosaur twins ,Paul Geraghty ,Red Fox ,2007
100,9781408307922,Slightly invisible ,Lauren Child ,Orchard ,2011
101,9780141331980,The ugly truth ,Jeff Kinney ,Puffin ,2010
102,9781444009255,The man whose mother was a pirate,Margaret Mahy; ill. by Margaret Chamberlain ,Orion Children's ,2013
103,9781444729740,The racketeer,John Grisham ,Hodder & Stoughton ,2012
104,9781840114911,Man on the Moon ,Simon Bartram ,Templar Publishing ,2004
